,index,coffee_name,total_score,roaster_location,coffee_origin,roast_level,est_price,agtron_ground,agtron_roast,price_per_ounce,origin_country,roast_level2,roast_level_count,total_score2,total_score_count
600,601,Ethiopia Washed Sidama Rumudamo,94.0,"Chia-Yi, Taiwan","Arbegona, Sidamo growing region, south-central Ethiopia",Light,NT $390/8 ounces,64.0,86.0,390.0,Ethiopia,,,,
601,602,Lemon Sugar Wash,95.0,"Taipei, Taiwan","Sidamo growing region, south-central Ethiopia",Medium Light,NT $550/225 grams,59.0,77.0,19.400352733686066,Ethiopia,,,,
602,603,Kenya Kiambu AA,95.0,"Taipei, Taiwan","Kiambu growing region, south-central Kenya",Medium Light,NT $650/225 grams,60.0,76.0,22.92768959435626,Kenya,,,,
603,604,Colombia Geisha Allium,94.0,"San Diego, California","Valle de Cauca Department, Colombia",Light,$65.00/8 ounces,62.0,84.0,65.0,Colombia,,,,
604,605,Wilton Benitez Orange Bourbon,96.0,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Light,$19.00/8 ounces,60.0,82.0,19.0,Colombia,,,,
605,606,Kayon Mountain Ethiopia,94.0,"Madison, Wisconsin","Odo Shakiso District, Guji Zone, southern Ethiopia",Medium Light,$18.00/12 ounces,58.0,78.0,18.0,Ethiopia,,,,
606,607,Ethiopia Kochere Arefasa Washed G1,94.0,"Nantou, Taiwan","Yirgacheffe growing region, southern Ethiopia",Light,NT $500/227 grams,62.0,80.0,17.636684303350968,Ethiopia,,,,
607,608,Colombia Granja Paraíso Java P14,95.0,"Minneapolis, Minnesota","Cauca Department, Colombia",Light,$50.00/4 ounces,64.0,82.0,50.0,Colombia,,,,
608,609,El Salvador Finca El Retiro Sudan Rume Natural,94.0,"Chia-Yi, Taiwan","Apaneca-Ilamatepec growing region, El Salvador",Medium Light,$16.00/230 grams,62.0,78.0,0.564373897707231,Salvador,,,,
609,610,Ethiopia Hayissa Olocho Lot 6,94.0,"Savannah, Georgia","Sidamo growing region, Ethiopia",Light,$27.00/10 ounces,61.0,82.0,27.0,Ethiopia,,,,
610,611,Nyeri Hill Kenya,94.0,"Madison, Wisconsin","Nyeri growing region, south-central Kenya",Medium Light,$22.00/12 ounces,58.0,80.0,22.0,Kenya,,,,
