,index,coffee_name,total_score,roaster_location,coffee_origin,roast_level,est_price,agtron_ground,agtron_roast,price_per_ounce,origin_country,roast_level2,roast_level_count,total_score2,total_score_count
0,1,Colombia Finca Campo Hermosa,94.0,"Cleveland, Tennessee","Quindio Department, Colombia",Light,$29.99/8 ounces,62.0,82.0,29.99,Colombia,Medium,244.0,94.0,1322.0
1,2,Colombia Finca La Sirena Mango Co-Ferment,94.0,"Cleveland, Tennessee","Quindio Department, Colombia",Light,$22.99/8 ounces,63.0,87.0,22.99,Colombia,Dark,5.0,98.0,6.0
2,3,In Bloom,94.0,"Jersey City, New Jersey",Colombia; Ethiopia,Light,$25.00/250 grams,64.0,88.0,0.8818342151675485,Ethiopia,Light,630.0,97.0,46.0
3,4,Ethiopia Washed Kaffa Gimbo Lot Rich Espresso,96.0,"Chia-Yi, Taiwan","Gimbo, Kaffa Province, Ethiopia",Medium Light,NT $250/8 ounces,55.0,77.0,250.0,Ethiopia,Medium Light,1263.0,95.0,651.0
4,5,Ethiopia Natural Gute Bona,95.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Medium Light,NT $400/8 ounces,62.0,78.0,400.0,Ethiopia,Very Dark,1.0,96.0,187.0
5,6,White Geisha Blend Espresso,95.0,"Taichung, Taiwan",Panama; Ethiopia,Medium Light,$39.00/8 ounces,60.0,78.0,39.0,Ethiopia,Medium Dark,49.0,,
6,7,Yunlin Natural Geisha CPAG-1,95.0,"Yunlin, Taiwan","Yunlin, Taiwan",Medium Light,NT $800/4 ounces,60.0,78.0,800.0,Taiwan,,,,
7,8,Colombia Natural Huila Eulises Guzman,94.0,"Chia-Yi, Taiwan","Huila Department, Colombia",Medium Light,NT $350/8 ounces,60.0,80.0,350.0,Colombia,,,,
8,9,Peru Washed Cusco Buena Vista Soola SL09,94.0,"Chia-Yi, Taiwan","Cusco, Peru",Medium Light,NT $300/4 ounces,58.0,77.0,300.0,Peru,,,,
9,10,Yunlin Natural Geisha,94.0,"Yunlin, Taiwan","Yunlin, Taiwan",Light,NT $600/4 ounces,60.0,84.0,600.0,Taiwan,,,,
10,11,Hechi,94.0,"Taipei, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $330/8 ounces,60.0,86.0,330.0,Ethiopia,,,,
11,12,Las Margaritas Sudan Rume,95.0,"Madison, Wisconsin","Caicendonia, Valle Del Cauca, Cauca Department, Colombia",Light,$27.00/8 ounces,60.0,84.0,27.0,Colombia,,,,
12,13,Wilton Benitez Geisha,95.0,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Light,$26.00/8 ounces,62.0,84.0,26.0,Colombia,,,,
13,14,Itumpi Tanzania,94.0,"Madison, Wisconsin","Mbozi District, Songwe Region, Tanzania",Medium Light,$22.00/12 ounces,59.0,81.0,22.0,Tanzania,,,,
14,15,Ethiopia Yirgacheffe G1 Gotiti Angel Station Geisha Washed,94.0,"Yilan, Taiwan","Gedeb District, Gedeo Zone, southern Ethiopia",Light,NT $550/200 grams,62.0,82.0,19.400352733686066,Ethiopia,,,,
15,16,Ethiopia Guji Hambela Buku Abel Bastet Geisha Washed,94.0,"Yilan, Taiwan","Guji Zone, Oromia Region, Southern Ethiopia",Light,NT $550/200 grams,63.0,85.0,19.400352733686066,Ethiopia,,,,
16,17,Finca Cruz Loma Ecuador Geisha,96.0,"Madison, Wisconsin","San José de Minas, Pichincha Province, Ecuador",Medium Light,$32.00/8 ounces,60.0,77.0,32.0,Ecuador,,,,
17,18,Costa Rica Finca El Cañal,95.0,"Charlotte, North Carolina","Alajuela, Central Valley, Costa Rica",Light,$30.00/12 ounces,60.0,88.0,30.0,Rica,,,,
18,19,Hambela Dabaye Ethiopia,95.0,"Madison, Wisconsin","Guji growing region, south-central Ethiopia",Light,$24.00/8 ounces,65.0,87.0,24.0,Ethiopia,,,,
19,20,Brazil Vinhal Grape Starfruit,94.0,"Peoria, Illinois","Cerrado Mineiro, Minas Gerais, Brazil",Medium Light,$21.00/12 ounces,59.0,77.0,21.0,Brazil,,,,
20,21,Duwancho Natural Ethiopia,94.0,"Madison, Wisconsin","Sidamo growing region, southern Ethiopia",Light,$28.00/12 ounces,61.0,82.0,28.0,Ethiopia,,,,
21,22,Colombia Finca Santa Barbara Gesha Anaerobic Honey,95.0,"Floyd, Virginia","Algeciras, Huila Department, Colombia",Light,$32.00/12 ounces,63.0,87.0,32.0,Colombia,,,,
22,23,Colombia Faver Emir Ninco Pink Bourbon,94.0,"Taipei, Taiwan","Santa Maria, Huila Department, Colombia",Light,NT $559/8 ounces,61.0,81.0,559.0,Colombia,,,,
23,24,Ethiopia Yirgacheffe Earl Grey Peach,94.0,"Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Light,NT $329/8 ounces,65.0,87.0,329.0,Ethiopia,,,,
24,25,Colombia Cauca Lusitania Geisha Washed,94.0,"Taipei, Taiwan","Caicedonia, Cauca Department, Colombia",Light,NT $470/100 grams,66.0,88.0,16.57848324514991,Colombia,,,,
25,26,Kenya Kirinyaga Karamundi Washed AB,95.0,"Taichung, Taiwan","Kirinyaga District, south-central Kenya",Light,NT $480/8 ounces,66.0,86.0,480.0,Kenya,,,,
26,27,Kaʻū Morning Glory,97.0,"Hilo, Hawai’i Island, Hawai’i","Kaʻū growing region, Hawai’i Island, Hawai’i",Light,$19.00/4 ounces,62.0,84.0,19.0,,,,,
27,28,Kaʻū Yellow Bourbon,95.0,"Hilo, Hawai’i Island, Hawai’i","Kaʻū growing region, Hawai’i Island, Hawai’i",Medium Light,$44.00/10 ounces,60.0,80.0,44.0,,,,,
28,29,Colombia San Adolfo Huila,95.0,"San Diego, California","Huila Department, Colombia",Light,$40.00/8 ounces,65.0,87.0,40.0,Colombia,,,,
29,30,Rwanda Kungahara Carbonic Maceration,95.0,"Floyd, Virginia","Rustiro, Rwanda",Light,$28.00/12 ounces,64.0,86.0,28.0,Rwanda,,,,
30,31,Ecuador La Papaya Pacamara,95.0,"Fort Wayne, Indiana","Saraguro, Loja, Ecuador",Light,$29.00/8 ounces,64.0,86.0,29.0,Ecuador,,,,
31,32,Peru Churupampa Pacamara,94.0,"Fort Wayne, Indiana","Jaén, Cajamarca, Peru",Medium Light,$22.00/12 ounces,59.0,80.0,22.0,Peru,,,,
32,33,Ethiopia Ayla Sidamo,95.0,"Fort Wayne, Indiana","Sidamo growing region, southern Ethiopia",Light,$20.00/ 12 ounces,62.0,84.0,20.0,Ethiopia,,,,
33,34,Ethiopia Mullugeta Muntasha,94.0,"Fort Wayne, Indiana","Bursa Village, Arbegona, Sidama growing region, southern Ethiopia",Medium Light,$23.00/12 ounces,61.0,79.0,23.0,Ethiopia,,,,
34,35,Ka’u Giant Maragogipe,94.0,"Hilo, Hawai'i","Ka’u growing region, Hawai’i Island, Hawai’i",Medium Light,$42.00/10 ounces,52.0,73.0,42.0,,,,,
35,36,Ka’u Red Bourbon,95.0,"Hilo, Hawai'i","Ka’u growing region, Hawai’i Island, Hawai’i",Medium Light,$44.00/10 ounces,60.0,78.0,44.0,,,,,
36,37,Kona Bloom,94.0,"Hilo, Hawai'i","Kona District, Hawai’i Island, Hawai’i",Medium Light,$44.00/10 ounces,57.0,78.0,44.0,,,,,
37,38,Guatemala Retiro del Quisaya Washed Process,94.0,"Durango, Colorado","San Martin Jilotepeque, Chimaltenango Department, Guatemala",Medium Light,$19.95/12 ounces,57.0,79.0,19.95,Guatemala,,,,
38,39,Ethiopian Single Origin,94.0,"Norfolk, Virginia",Ethiopia,Medium Light,$16.99/12 ounces,52.0,74.0,16.99,Ethiopia,,,,
39,40,Colombia Finca Al Paraiso Y–05 Lychee,95.0,"Glendale, California","Piendamó, Cauca Department, Colombia",Medium,$30.50/12 ounces,52.0,64.0,30.5,Colombia,,,,
40,41,Colombia Las Perlitas Anaerobic Honey,94.0,"Santa Fe, New Mexico","Medellin, Colombia",Medium Light,$25.00/227 grams,59.0,81.0,0.8818342151675485,Colombia,,,,
41,42,Panama Altieri Luci Geisha Natural Cold Dry Ferment,94.0,"Los Angeles, California","Boquete growing region, western Panama",Medium Light,$59.95/170 grams,58.0,81.0,2.1146384479717812,Panama,,,,
42,43,Costa Rica La Minita,94.0,"Tulsa, Oklahoma","Los Santos, Tarrazú, Costa Rica",Medium Light,$22.00/12 ounces,56.0,82.0,22.0,Rica,,,,
43,44,Ethiopia Guji Grape GildVine Natural G1,94.0,"Tainan, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Light,NT $500/227 grams,67.0,88.0,17.636684303350968,Ethiopia,,,,
44,45,Kenya Baragwi Guama AA Washed,95.0,"Baronett, Wisconsin","Guama Village, Kirinyaga County, Kenya",Light,$21.00/12 ounces,61.0,83.0,21.0,Kenya,,,,
45,46,Potosi Pink Bourbon Natural Colombia,96.0,"Madison, Wisconsin","Trujillo, Valle Del Cauca, Cauca Department, Colombia",Light,$29.00/8 ounces,64.0,86.0,29.0,Colombia,,,,
46,47,Wilton Benitez Sudan Rume Colombia,95.0,"Madison, Wisconsin","Piendamó, Cauca Department, Colombia",Light,$25.00/8 ounces,62.0,82.0,25.0,Colombia,,,,
47,48,Kangocho Kenya,95.0,"Madison, Wisconsin","Nyeri County, Kenya",Medium Light,$25.00/12 ounces,59.0,81.0,25.0,Kenya,,,,
48,49,La Esperanza Mandela,95.0,"Madison, Wisconsin","Trujillo, Valle Del Cauca, Cauca Department, Colombia",Light,$27.00/8 ounces,62.0,80.0,27.0,Colombia,,,,
49,50,Mexico Alva Flores,94.0,"Fort Wayne, Indiana","Santa Cruz, Ozolotepec, Oaxaca, Mexico",Medium Light,$18.00/12 ounces,54.0,72.0,18.0,Mexico,,,,
50,51,Ethiopia Natural Sidama Blue Donkey Lot 2,96.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $350/8 ounces,62.0,84.0,350.0,Ethiopia,,,,
51,52,Trust the Process Costa Rica Finca Carrizal SL28 Black Diamond Natural,95.0,"Floyd, Virginia","Sabanilla de Alajuela growing region, Costa Rica",Light,$24.00/8 ounces,62.0,84.0,24.0,Rica,,,,
52,53,Guatemala Washed Finca El General Gesha,94.0,"Chia-Yi, Taiwan","Acatenango, Chimaltenango, Guatemala",Medium Light,NT $420/4 ounces,58.0,77.0,420.0,Guatemala,,,,
53,54,Guatemala Finca El General Bourbon Honey Espresso,94.0,"Chia-Yi, Taiwan","Acatenango, Chimaltenango, Guatemala",Medium Light,NT $420/4 ounces,56.0,76.0,420.0,Guatemala,,,,
54,55,True Love Espresso Blend,94.0,"Chia-Yi, Taiwan",Ethiopia; Guatemala,Medium Light,NT $260/8 ounces,57.0,77.0,260.0,Guatemala,,,,
55,56,Colombia Sebastian Ramirez Washed Pink Bourbon,97.0,"McHenry, Illinois","Quindio Department, Colombia",Light,$30.00/12 ounces,62.0,84.0,30.0,Colombia,,,,
56,57,Colombia Manos Juntas Anaerobic Natural,94.0,"Peoria, Illinois","Cauca Department, Colombia",Light,$18.00/12 ounces,63.0,85.0,18.0,Colombia,,,,
57,58,Ecuador La Papaya Geisha Natural,96.0,"Fort Wayne, Indiana","Saraguro, Loja, Ecuador",Medium Light,$38.00/8 ounces,61.0,79.0,38.0,Ecuador,,,,
58,59,Yemen Al Obrah,95.0,"Fort Wayne, Indiana","Al Obrah, Hayma Dakhaliya, Sana'a, Yemen",Light,$42.00/8 ounces,62.0,86.0,42.0,Yemen,,,,
59,60,Kenya Embu,95.0,"Taichung, Taiwan","Embu County, Kenya",Light,NT $1200/227 grams,62.0,80.0,42.32804232804233,Kenya,,,,
60,61,Yemen Ismaili,94.0,"Taichung, Taiwan","Bani Ismail District, Sana'a, Yemen",Medium Light,NT $1200/227 grams,57.0,81.0,42.32804232804233,Yemen,,,,
61,62,Guatemala Acatenango Geisha,94.0,"Tiachung, Taiwan","Acatenango growing region, Guatemala",Medium Light,NT $1200/227 grams,59.0,79.0,42.32804232804233,Guatemala,,,,
62,63,Ethiopia Bench-Maji Lucy Geisha Anaerobic Natural,94.0,"Kaohsiung, Taiwan","Bench-Maji Zone, southern Ethiopia",Light,NT $300/100 grams,64.0,88.0,10.582010582010582,Ethiopia,,,,
63,64,Wilton Benitez Colombia Yellow Bourbon,96.0,"Madison, Wisconsin","Piendamó, Cauca, Colombia",Light,$22.00/8 ounces,63.0,88.0,22.0,Colombia,,,,
64,65,Kona Tropical Punch Washed,95.0,"Hilo, Hawai’i Island, Hawai’i","Kona growing region, Hawai’i Island, Hawai'i",Light,$50.00/4 ounces,68.0,84.0,50.0,,,,,
65,66,Granate,94.0,"Satipo Province, Peru","Llayla District, Satipo Province, Peru",Medium Light,$13.50/250 grams,57.0,79.0,0.47619047619047616,Peru,,,,
66,67,Kenya Kirinyaga,95.0,"Floyd, Virginia","Kirinyaga District, south-central Kenya",Light,$25.00/12 ounces,60.0,82.0,25.0,Kenya,,,,
67,68,Costa Rica San Diego,94.0,"Fort Wayne, Indiana","Tarrazu, Costa Rica",Medium Light,$22.00/12 ounces,57.0,77.0,22.0,Rica,,,,
68,69,Costa Rica La Candelilla Geisha,94.0,"Floyd, Virginia","Tarrazu, Costa Rica",Light,$35.00/12 ounces,62.0,84.0,35.0,Rica,,,,
69,70,Ethiopia Agaro Duromina,94.0,"San Diego, California","Agaro Duromina, Jimma Zone, Oromia State, Ethiopia",Medium Light,$22.00/12 ounces,59.0,79.0,22.0,Ethiopia,,,,
70,71,Panama Renaissance Series Flora Geisha Washed,94.0,"Taipei, Taiwan","Boquete growing region, western Panama",Light,NT $800/227 grams,68.0,94.0,28.21869488536155,Panama,,,,
71,72,Colombia San Martin Bourbon Aji Star Fruit Peach Honey,95.0,"Yilan, Taiwan","Huila Department, Colombia",Light,NT $650/200 grams,64.0,88.0,22.92768959435626,Colombia,,,,
72,73,Taiwan COE #3 Alishan Zhou Zhu Yuan Geisha Natural,94.0,"Yilan, Taiwan","Alishan, Taiwan",Light,"NT $2,700/100 grams",62.0,80.0,,Taiwan,,,,
73,74,Las Margaritas Colombia Sudan Rume Natural,95.0,"Madison, Wisconsin","Caicendonia, Valle Del Cauca, Cauca Department, Colombia",Light,$25.00/8 ounces,62.0,86.0,25.0,Colombia,,,,
74,75,Yabitu Koba Ethiopia,95.0,"Madison, Wisconsin","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,$23.00/12 ounces,58.0,78.0,23.0,Ethiopia,,,,
75,76,Pantan Musara Sumatra,94.0,"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium Light,$23.00/12 ounces,57.0,80.0,23.0,Indonesia,,,,
76,77,Ethiopia Yirgacheffe Misty Valley Aricha Washed G1,94.0,"Taipei, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Light,NT $339/8 ounces,65.0,93.0,339.0,Ethiopia,,,,
77,78,Guatemala El Soccoro Maracaturra Washed,94.0,"Baronett, Wisconsin","Palencia, Guatemala Department, Guatemala",Medium Light,$20.00/12 ounces,60.0,78.0,20.0,Guatemala,,,,
78,79,Ethiopia Sidama Bensa Alo Single Variety 74158 Natural,94.0,"New Taipei City, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $840/113 grams,66.0,88.0,29.62962962962963,Ethiopia,,,,
79,80,El Salvador Loma La Gloria Unicorn Natural,95.0,"Reno, Nevada","El Bálsamo, Quetzaltepec growing region, El Salvador",Light,$29.00/10 ounces,64.0,88.0,29.0,Salvador,,,,
80,81,Costa Rica Las Lajas SL-28 Natural,94.0,"Durango, Colorado","Sabanilla de Alajuela growing region, Costa Rica",Light,$30.00/12 ounces,58.0,84.0,30.0,Rica,,,,
81,82,Ethiopia Faysel Abdosh,94.0,"Fort Wayne, Indiana","Chericho, Sidamo growing region, Ethiopia",Light,$20.00/12 ounces,64.0,88.0,20.0,Ethiopia,,,,
82,83,Kenya Kii,94.0,"San Diego, California","Kirinyaga County, Kenya",Medium Light,$26.00/250 grams,58.0,82.0,0.9171075837742504,Kenya,,,,
83,84,Ethiopia Guji Bishala G1 Red Honey,94.0,"Taichung, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Medium Light,NT $460/8 ounces,58.0,80.0,460.0,Ethiopia,,,,
84,85,Ethiopia Sidama Bensa Shantawene Gatta Kenean Dukamo Anaerobic Natural G1,94.0,"Taichung, Taiwan","Bensa district, Sidama Zone, southern Ethiopia",Light,NT $720/8 ounces,66.0,89.0,720.0,Ethiopia,,,,
85,86,Kenya Nyeri Hill AB,96.0,"Lexington, Virginia","Nyeri growing region, south-central Kenya",Medium Light,$23.50/12 ounces,58.0,82.0,23.5,Kenya,,,,
86,87,Ethiopia Sidama  Bombe Natural,94.0,"Taitung, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $350/200 grams,61.0,85.0,12.345679012345679,Ethiopia,,,,
87,88,Ethiopia Kayon Mountain,95.0,"Lexington, Virginia","Odo Shakiso District, Guji Zone, southern Ethiopia",Light,$24.00/12 ounces,64.0,88.0,24.0,Ethiopia,,,,
88,89,Colombia Red Sunset,94.0,"Lexington, Virginia","Santa Barbara, Antioquia Department, Colombia",Light,$27.00/12 ounces,60.0,84.0,27.0,Colombia,,,,
89,90,Ethiopia Gesha Village Lot 108,94.0,"Jersey City, New Jersey","Bench-Maji Zone, southern Ethiopia",Light,$30.00/50 grams,66.0,89.0,1.0582010582010581,Ethiopia,,,,
90,91,Panama Geisha Vuelta DRD Natural Lot GN-01,97.0,"Hilo, Hawai’i Island, Hawai’i","Boquete growing region, western Panama",Light,$400.00/20 grams,64.0,88.0,14.109347442680775,Panama,,,,
91,92,Panama Kaizen Lot GW-01,96.0,"Hilo, Hawai’i Island, Hawai’i","Boquete growing region, western Panama",Light,$400.00/20 grams,65.0,90.0,14.109347442680775,Panama,,,,
92,93,Kona Geisha Champagne Natural,95.0,"Hilo, Hawai’i Island, Hawai’i","Hōlualoa, North Kona growing region, Hawai’i Island, Hawai’i",Light,$200.00/4 ounces,64.0,88.0,200.0,,,,,
93,94,Ethiopia Nano Genji Lot #8,94.0,"Manlius, New York","Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Light,$22.00/12 ounces,64.0,84.0,22.0,Ethiopia,,,,
94,95,Colombia Hacienda La Pradera Mokka,94.0,"Manlius, New York","Santander Department, Colombia",Light,$42.00/12 ounces,64.0,88.0,42.0,Colombia,,,,
95,96,La Piragua Pink Bourbon Colombia,94.0,"Madison, Wisconsin","Palestina, Huila Department, Colombia",Light,$22.00/12 ounces,62.0,84.0,22.0,Colombia,,,,
96,97,Kenya Baragwi Guama,94.0,"Fort Wayne, Indiana","Guama Village, Kirinyaga County, Kenya",Medium Light,$22.00/12 ounces,60.0,78.0,22.0,Kenya,,,,
97,98,Ethiopia Washed Uraga More Floral Kurume Espresso,95.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium Light,NT $270/8 ounces,58.0,79.0,270.0,Ethiopia,,,,
98,99,Ethiopia Natural Sidama ALO Village FL,95.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $480/4 ounces,62.0,84.0,480.0,Ethiopia,,,,
99,100,Ethiopia Washed Sidama Bura Karamo 74158,95.0,"Chia-Yi, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $320/8 ounces,64.0,84.0,320.0,Ethiopia,,,,
100,101,Ethiopia Natural Guji Hambella Wamena Buku G1,94.0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,NT $320/8 ounces,64.0,88.0,320.0,Ethiopia,,,,
101,102,Guatemala Naranjas Nadando,95.0,"Topeka, Kansas","Huehuetenango, Guatemala",Light,$22.00/10 ounces,62.0,84.0,22.0,Guatemala,,,,
102,103,Songstress Geisha,95.0,"Taipei, Taiwan","Bench-Maji Zone, southern Ethiopia",Light,NT $370/8 ounces,64.0,86.0,370.0,Ethiopia,,,,
103,104,Ethiopia Gesha Village Surma 1931 Mossto Anaerobic Honey,95.0,"Baronett, Wisconsin","Bench-Maji Zone, southern Ethiopia",Light,$40.00/6 ounces,62.0,84.0,40.0,Ethiopia,,,,
104,105,Panama Bambito Estate Geisha,95.0,"San Diego, California","Volcan Baru, Boquete growing region, Panama",Light,$38.75/4 ounces,64.0,88.0,38.75,Panama,,,,
105,106,Colombia Efren Echeverry,94.0,"Fort Wayne, Indiana","Pitalito, Huila Department, Colombia",Light,$25.00/12 ounces,62.0,84.0,25.0,Colombia,,,,
106,107,Pueo Blend,94.0,"Hilo, Hawai'i",Guatemala and other undisclosed origins,Medium Light,$20.00/10 ounces,50.0,77.0,20.0,,,,,
107,108,Wai Meli Morning,94.0,"Mountain View, Hawai'i","Kona and Ka’u, Hawai’i; other undisclosed origins",Medium Light,$30.00/10 ounces,54.0,72.0,30.0,,,,,
108,109,Ayla Bombe Natural,94.0,"Madison, Wisconsin","Sidamo growing region, southern Ethiopia",Light,$22.00/12 ounces,63.0,87.0,22.0,Ethiopia,,,,
109,110,Wilton Benitez Striped Bourbon Colombia,94.0,"Madison, Wisconsin","Piendamó, Cauca, Colombia",Light,$25.00/8 ounces,62.0,84.0,25.0,Colombia,,,,
110,111,Buena Vista Pink Bourbon Colombia,94.0,"Madison, Wisconsin","La Muralla, Huila Department, Colombia",Medium Light,$22.00/8 ounces,59.0,77.0,22.0,Colombia,,,,
111,112,Yunlin Washed Geisha,96.0,"Yunlin, Taiwan","Yunlin County, Taiwan",Light,NT $800/120 grams,64.0,90.0,28.21869488536155,Taiwan,,,,
112,113,Ethiopia Banko Washed,96.0,"Floyd, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Light,$24.00/12 ounces,62.0,84.0,24.0,Ethiopia,,,,
113,114,Colombia Villa Betulia CM Sidra,96.0,"Denver, Colorado","Acevedo, Huila Department, Colombia",Light,$46.00/8 ounces,60.0,84.0,46.0,Colombia,,,,
114,115,Ethiopia Anaerobic Worka Sakaro,95.0,"Floyd, Virginia","Gedeb District, Gedeo Zone, southern Ethiopia",Light,$24.00/12 ounces,66.0,92.0,24.0,Ethiopia,,,,
115,116,Costa Rica Hacienda Sonora Natural Milenio,94.0,"Denver, Colorado","Alajuela, Central Valley, Costa Rica",Light,$19.00/8 ounces,62.0,84.0,19.0,Rica,,,,
116,117,Costa Rica Alma Negra Natural,94.0,"Floyd, Virginia","Alajuela, Central Valley, Costa Rica",Light,$25.00/12 ounces,58.0,88.0,25.0,Rica,,,,
117,118,El Salvador Finca Santa Sofia Natural Kenya,94.0,"Denver, Colorado","Santa Ana, El Salvador",Light,$22.00/8 ounces,68.0,94.0,22.0,Salvador,,,,
118,119,Colombia Aponte Honey,94.0,"Floyd, Virginia","Aponte, Nariño Department, Colombia",Light,$23.00/12 ounces,64.0,88.0,23.0,Colombia,,,,
119,120,Finca Huixoc Geisha,94.0,"Antigua Guatemala, Guatemala","La Democracia, Huehuetenango Department, Guatemala",Light,$24.00/12 ounces,60.0,82.0,24.0,Guatemala,,,,
120,121,Costa Rica Rivense Finca El Mango Honey Process,94.0,"Thermopolis, Wyoming","Chirripo, Brunca growing region, Costa Rica",Light,$16.00/12 ounces,62.0,84.0,16.0,Rica,,,,
121,122,El Salvador Unicorn,94.0,"Truckee, California","El Bálsamo Quetzaltepec, El Salvador",Medium Light,$24.00/8 ounces,58.0,80.0,24.0,Salvador,,,,
122,123,Kenya Kiamwangi Factory AA TOP,94.0,"Taipei, Taiwan","Nyeri growing region, south-central Kenya",Medium Light,NT $389/8 ounces,60.0,80.0,389.0,Kenya,,,,
123,124,Ethiopia Sidama Bensa Hamasho Washed TOH#2,94.0,"Taipei, Taiwan","Sidamo growing region, southern Ethiopia",Light,NT $349/8 ounces,64.0,86.0,349.0,Ethiopia,,,,
124,125,Costa Rica Red Java Honey Finca Los Pinitos,95.0,"Charlotte, North Carolina","Alajuela, Central Valley, Costa Rica",Light,$29.00//12 ounces,60.0,88.0,,Rica,,,,
125,126,Costa Rica Finca El Cañal Double Diamond,94.0,"Charlotte, North Carolina","Alajuela, Central Valley, Costa Rica",Light,$28.00/12 ounces,62.0,86.0,28.0,Rica,,,,
126,127,Honduras Roger Dominguez,94.0,"Fort Wayne, Indiana","La Paz, Marcala growing region, Honduras",Light,$20.00/8 ounces,66.0,88.0,20.0,Honduras,,,,
127,128,Ngurueri Kenya,94.0,"Madison, Wisconsin","Embu County, Kenya",Light,$22.00/12 ounces,62.0,80.0,22.0,Kenya,,,,
128,129,Cruz Loma Ecuador,94.0,"Madison, Wisconsin","San José de Minas, Pichincha Province, Ecuador",Light,$22.00/8 ounces,60.0,82.0,22.0,Ecuador,,,,
129,130,Colombia Monteblanco Nectar Citrullus Secret Stash,94.0,"Sacramento, Calfornia","Peñas Blancas Mountains, Acevedo, Colombia",Medium Light,$20.00/8 ounces,58.0,82.0,20.0,Colombia,,,,
130,131,Costa Rica La Laguna Lot Secret Stash,94.0,"Sacramento, California","Tarrazu, Costa Rica",Light,$20.00/8 ounces,64.0,86.0,20.0,Rica,,,,
131,132,Ballista Espresso,94.0,"Lee, Massachusetts","Ethiopia, Brazil",Medium Light,$18.45/12 ounces,56.0,74.0,18.45,Brazil,,,,
132,133,Ethiopia Natural Lion 88,94.0,"Taipei, Taiwan","Guji Zone, Oromia region, southern Ethiopia",Light,NT $500/8 ounces,66.0,90.0,500.0,Ethiopia,,,,
133,134,Panama Lamastus Family Elida Estate Loma Geisha Washed,97.0,"New Taipei City, Taiwan","Boquete growing region, western Panama",Light,"NT $1,695/4 ounces",64.0,88.0,,Panama,,,,
134,135,Colombia El Paraiso Geisha Anti-Maceration,95.0,"Osaka, Japan","Piendamo, Cauca Department, Colombia",Light,$29.00/50 grams,70.0,94.0,1.0229276895943562,Colombia,,,,
135,136,Ethiopia Alo Chilaka Natural,94.0,"Viroqua, Wisconsin","Sidamo growing region, southern Ethiopia",Light,$22.00/12 ounces,66.0,88.0,22.0,Ethiopia,,,,
136,137,Panama Bambito Gesha,94.0,"Olympia, Washington","Bambito Mountains, Chiriqui, Panama",Light,$55.00/8 ounces,62.0,84.0,55.0,Panama,,,,
137,138,Panama Geisha Vuelta DRD Natural,97.0,"Hilo, Hawai’i","Boquete growing region, western Panama",Light,$88.00/4 ounces,66.0,88.0,88.0,Panama,,,,
138,139,Kona S12 Kaffa Washed,96.0,"Hilo, Hawai’i","Hōlualoa, North Kona, Hawai’i Island",Light,$100.00/4 ounces,67.0,94.0,100.0,Island,,,,
139,140,Kona Geisha Rosé Washed,96.0,"Hilo, Hawai’i","Hōlualoa, North Kona, Hawai’i Island",Light,$100.00/4 ounces,64.0,88.0,100.0,Island,,,,
140,141,Colombia Cafe La Granja Pink Bourbon,96.0,"Jersey City, New Jersey","Caicedonia, Valle del Cauca Department, Colombia",Light,$35.00/125 grams,62.0,88.0,1.2345679012345678,Colombia,,,,
141,142,Colombia Cafe La Granja Sudan Rume Natural,95.0,"Jersey City, New Jersey","Caicedonia, Valle del Cauca Department, Colombia",Light,$35.00/125 grams,66.0,92.0,1.2345679012345678,Colombia,,,,
142,143,Panama Tierra Blanca C-5 Geisha Washed BOP-GW-05,97.0,"Taipei, Taiwan","Boquete growing region, western Panama",Light,$700/4 ounces,64.0,88.0,700.0,Panama,,,,
143,144,Kenya AA Kangiri New Irati,95.0,"Barronett, Wisconsin","Kigumo growing region, Muranga County, Kenya",Light,$19.00/12 ounces,66.0,84.0,19.0,Kenya,,,,
144,145,Costa Rica Central Valley Honey Geisha,94.0,"Barronett, Wisconsin","Alajuela, Central Valley, Costa Rica",Light,$16.00/6 ounces,62.0,80.0,16.0,Rica,,,,
145,146,Ethiopia Sidama Bombe G1 Washed,94.0,"Barronett, Wisconsin","Sidamo growing region, southern Ethiopia",Light,$19.00/12 ounces,64.0,84.0,19.0,Ethiopia,,,,
